adjusted_rand_score,silhouette,calinski_harabasz,eigengap,ari_silhouette,ari_calinski,ari_eigengap,no_clusters_2,no_clusters_3,no_clusters_4,no_clusters_5,score_path,parameters
0.7864285608731959,0.37830115187248664,0.3633631937634358,0.655200851039973,0.37830115187248664,0.3633631937634358,0.655200851039973,0.2987702079327537,0.2736574804679739,0.24149001932137037,0.1981791292089671,rusemshift-finetune,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.7779053850008988,0.3392824637954512,0.3258286828947854,0.6081944143237398,0.3392824637954512,0.3258286828947854,0.6081944143237398,0.2896216955574052,0.25989170845007653,0.20063175138437986,0.18081177664020795,rusemshift-train,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.7894406518154696,0.3865977829421077,0.3865977829421077,0.5722652722913328,0.3865977829421077,0.3865977829421077,0.5722652722913328,0.3213730195415075,0.318471087650416,0.21916291325866324,0.1464177816645326,ru-ru,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.7742925282364858,0.421652420350507,0.4301881147252985,0.5642555577495152,0.421652420350507,0.4301881147252985,0.5642555577495152,0.3495108055630807,0.21046462185092127,0.14365378205496485,0.1103146522745066,en-en,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.7104328770908763,0.36666037654276,0.36362266666218274,0.4460708782742681,0.36666037654276,0.36362266666218274,0.4460708782742681,0.33610534516419666,0.19454694935231617,0.12101746472910942,0.09116855107811224,rusemshift-finetune,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.8247562549388513,0.47556554340298085,0.4411013034872898,0.4915254237288135,0.47556554340298085,0.4411013034872898,0.4915254237288135,0.40612348831064243,0.22818764638787922,0.150359245427339,0.07428694459204561,rusemshift-train,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.7138817657967756,0.31883445996507176,0.2777193510976306,0.4915254237288135,0.31883445996507176,0.2777193510976306,0.4915254237288135,0.2922649216346491,0.1996312682818168,0.12089220365044201,0.08655566609662174,ru-ru,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.791092325056253,0.460867018458102,0.4134699710610546,0.4915254237288135,0.460867018458102,0.4134699710610546,0.4915254237288135,0.3973284152930375,0.20161914387971877,0.14726571683457082,0.12705646069030468,en-en,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.7809837562826627,0.4053177449810639,0.37156230882672003,0.700889230653596,0.4053177449810639,0.37156230882672003,0.700889230653596,0.31673610531493945,0.26354206414084574,0.22518059202888732,0.12756552488900438,rusemshift-finetune,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.8325658816824878,0.44570505506187624,0.4190185206142106,0.6278890600924499,0.44570505506187624,0.4190185206142106,0.6278890600924499,0.3441721785973803,0.3234180850496992,0.2299314026356953,0.1577412128671884,rusemshift-train,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.8035027155618562,0.41911444917447704,0.41911444917447704,0.603850234854506,0.41911444917447704,0.41911444917447704,0.603850234854506,0.33644518952104846,0.2969952873259839,0.19203422143492752,0.14274274544997842,ru-ru,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.7597366821164652,0.41591485286559227,0.405395852616387,0.593985066199514,0.41591485286559227,0.405395852616387,0.593985066199514,0.34083523692520307,0.2113842121662773,0.1775542375527213,0.11134916641464937,en-en,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.7980767231618987,0.3880516649828846,0.3731137068738338,0.655200851039973,0.3880516649828846,0.3731137068738338,0.655200851039973,0.2987702079327537,0.293860078403224,0.2470463166518514,0.1902103468083416,rusemshift-finetune,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.7454380883646469,0.31327978736585865,0.3257256168503558,0.6065148899943857,0.31327978736585865,0.3257256168503558,0.6065148899943857,0.28048430184432377,0.21930836329657435,0.19225642915857444,0.18925142547545068,rusemshift-train,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.6425660153081836,0.2755071717921091,0.2914350117061811,0.5332517341463524,0.2755071717921091,0.2914350117061811,0.5332517341463524,0.22390794312553797,0.1624449145210448,0.13000366155747875,0.12976727354765677,ru-ru,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.7502425421142639,0.31614341832746623,0.3239427569435515,0.4308111403495671,0.31614341832746623,0.3239427569435515,0.4308111403495671,0.2708481489996182,0.17449457164109175,0.1545035661343109,0.13673894483815036,en-en,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.7941561802297414,0.4066320385539832,0.40477328737274265,0.5317044855594749,0.4066320385539832,0.40477328737274265,0.5317044855594749,0.3091257474112169,0.25341434465324314,0.2119413790258908,0.15039549393703738,rusemshift-finetune,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
