adjusted_rand_score,silhouette,calinski_harabasz,eigengap,adjusted_rand_score_old,ari_silhouette_old,ari_calinski_old,ari_eigengap_old,adjusted_rand_score_new,ari_silhouette_new,ari_calinski_new,ari_eigengap_new,ari_silhouette,ari_calinski,ari_eigengap,no_clusters_2,no_clusters_3,no_clusters_4,no_clusters_5,score_path,parameters
0.8018351881283876,0.7157090473068681,0.6685086741337586,0.5754762506995857,0.7157090473068681,0.6685086741337586,0.5754762506995857,0.8120463420408416,0.567839555288383,0.538069216405398,0.6181609875614743,0.7875922804630515,0.6504677767199994,0.5943917989517015,0.5653832803748227,0.6068289655651324,0.5845881955665638,0.5204579568932414,0.4677037733231266,rusemshift-finetune,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.8429809838321066,0.6976314133103303,0.7065131647431953,0.5978136328377398,0.6976314133103303,0.7065131647431953,0.5978136328377398,0.8046099501847466,0.6182679356544251,0.6186190101099994,0.6584476186011142,0.8205841014746343,0.6632479438165916,0.6830334714354813,0.5627453788633102,0.6479249538030099,0.599355290317815,0.5238769220410444,0.4480045656745087,rusemshift-train,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.7796413740098537,0.7018083732630581,0.6849318132449054,0.5424662906874187,0.7018083732630581,0.6849318132449054,0.5424662906874187,0.8059520667072442,0.6812905427959337,0.6535127650181559,0.6585495660121569,0.8413047313727949,0.6949205696507511,0.6791798289100103,0.5986375289189588,0.6498350511828529,0.5508368323958273,0.4375900817209663,0.39910207917690194,ru-ru,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.8642442672997719,0.7570612960250238,0.7279862186986518,0.6057869988588437,0.7570612960250238,0.7279862186986518,0.6057869988588437,0.8537131069882199,0.6419314715541816,0.5752844852116296,0.6340626309321792,0.8633355525777905,0.7666383781827849,0.7416963981483105,0.6079762638834313,0.7202422267849848,0.6466442788599741,0.5143200221708006,0.45753802325859927,en-en,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.4150406945126406,0.29251123847328486,0.2674536875428356,0.10620403840801651,0.29251123847328486,0.2674536875428356,0.10620403840801651,0.5509362778810524,0.24767101165520325,0.2720746694712462,0.3672316384180791,0.5785052370849678,0.42669758062833196,0.3656357378982018,0.2624995037910365,0.27430954621595105,0.2472163957693105,0.1843981488682501,0.1495385382724029,rusemshift-finetune,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.4426501421960322,0.3251660715395787,0.3176078787461129,0.10620403840801651,0.3251660715395787,0.3176078787461129,0.10620403840801651,0.5515399646825102,0.20531351363338624,0.26086958472212307,0.3672316384180791,0.557338530078764,0.37722479774192497,0.3728050546642656,0.2624995037910365,0.33260967151529824,0.20177965465210668,0.11710138235410787,0.08262093718775622,rusemshift-train,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.36648659373695924,0.21292424703554103,0.21292424703554103,0.09734860578969774,0.21292424703554103,0.21292424703554103,0.09734860578969774,0.5930723624732618,0.3548722293680231,0.3548722293680231,0.35215946843853824,0.4812326873346124,0.18410483016333887,0.18410483016333887,0.26691266912669126,0.21490221247605315,0.17290176624160622,0.19930025767716505,0.11017572495292073,ru-ru,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.4682893979888865,0.3707634021567248,0.3707634021567248,0.06703576627157413,0.3707634021567248,0.3707634021567248,0.06703576627157413,0.631453601510143,0.456346272092389,0.456346272092389,0.3333333333333333,0.5001941119786227,0.35931147434389027,0.35931147434389027,0.22116333580064151,0.3526719342409083,0.18890036609719865,0.1763885151250325,0.10966155978164793,en-en,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.5991253466868623,0.4936965114700438,0.4621556343160176,0.25468039185820984,0.4936965114700438,0.4621556343160176,0.25468039185820984,0.6558633232836083,0.3717551166875821,0.4134217833542487,0.4574687125669267,0.634434162026401,0.5300822169264335,0.4789885160526663,0.359919084102261,0.4955932578334588,0.3592474689145073,0.3064990329616032,0.21100880988022255,rusemshift-finetune,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.5547803284520739,0.4625595829913296,0.4421069760806761,0.21298561875976754,0.4625595829913296,0.4421069760806761,0.21298561875976754,0.6461437903113273,0.4613243139129348,0.4613243139129348,0.4341484614324631,0.6590798224505477,0.41318632589722526,0.38808042733388043,0.321550276417968,0.45235731951097075,0.3180750785669703,0.246622952633591,0.22168261045599366,rusemshift-train,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.622417129478024,0.4971547727928081,0.4994681577201821,0.2640999061441433,0.4971547727928081,0.4994681577201821,0.2640999061441433,0.7182315819847976,0.5173061617180449,0.5173061617180449,0.4415930422214251,0.6921104728643512,0.48760608501000746,0.479300409916112,0.38813284395305764,0.49069363007128425,0.39010598368662963,0.31625810239924707,0.21244911635022992,ru-ru,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
