adjusted_rand_score,parameters,model_hyperparameters,adjusted_rand_score_old,adjusted_rand_score_new
0.1317694342759421,"{'binarize': False, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5119831818363361, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.3828542428530211,0.3215644252347824
0.6260193608667148,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5406312699576192, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5169963223293711,0.5720969583437584
0.6715491043636207,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.4949049830710326, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5704579145129764,0.5943610166572882
0.6568895062451511,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4906564384435157, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.4997169384281872,0.6188678915403831
0.7361595230366557,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5119831818363361, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.6061506782346316,0.738029822496403
0.6308480077044427,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5406312699576192, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5245005685454013,0.5815949453210637
0.668882407604309,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.4949049830710326, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5556526196907016,0.5876700879883874
0.6633519596895496,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4906564384435157, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.507393753175367,0.6271911392368493
0.688001150629341,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5119831818363361, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5716275594697815,0.6815485313573767
0.6425318199713023,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5406312699576192, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5701574549210073,0.5784023465934042
0.6379910087688242,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.4949049830710326, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5608393512355084,0.5666251761466964
0.5526283080265437,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4906564384435157, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.4963880624656189,0.6042588723029514
0.6320542452773253,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5119831818363361, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5499494850227011,0.6475665646362667
0.618730077947692,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5406312699576192, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5353239275776263,0.563324562501361
0.4358899300381709,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.4949049830710326, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.4924779136631194,0.4164394532594106
0.16598031492471252,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4906564384435157, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.39570143281451475,0.3999879161624637
0.30164832901012645,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5119831818363361, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.466786801297991,0.5607364829901403
0.2364369600228846,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5406312699576192, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.40569317687961753,0.45046179488529753
0.24599869369757757,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.4949049830710326, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.5078232657413182,0.4171533637428306
0.16528288147136622,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4906564384435157, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.39570143281451475,0.39364873553403185
0.1646839466150433,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5119831818363361, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.42000698837007033,0.3801235363607973
0.4585953677776235,"{'binarize': False, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5406312699576192, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.529304435709311,0.5654236344649018
0.3542385013557012,"{'binarize': False, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.4949049830710326, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.4630674526523073,0.484127581220767
0.2545450304554033,"{'binarize': False, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4906564384435157, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}",0.4526254104758482,0.4692992522498458
