adjusted_rand_score,parameters,model_hyperparameters
0.5282578844549474,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.5120123199215798,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.4583333333333333,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.5,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.5258490067117174,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.5268789682314818,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.5268789682314818,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.5387750224546991,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.4618295878549659,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.5034962545216326,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.4141385331245953,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.4912373422292613,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.4912373422292613,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.5347156030988265,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.5005355684194366,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.49331653642599926,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.46821208001786474,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.4179315556130431,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.4179315556130431,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.38801153367103386,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.431249888748426,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.431249888748426,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.4168825233172308,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.3872110299001595,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.40083072607616793,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.3682210037545773,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.3705970470637514,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.3848358203386693,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.38018232279145714,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.3430808856189879,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.3430808856189879,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.320243899512667,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.2851569608872486,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.2851569608872486,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.2945722153598069,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.25226790061813914,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.25226790061813914,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.25748978398031275,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.3039298309931077,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.3039298309931077,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.24980548122843105,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.2206763000872187,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.2206763000872187,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.1822379357708603,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.2670350692824961,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.2423399410036241,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.2772966048278139,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.1500399417082761,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.1500399417082761,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.12974152354889537,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.20410139238827546,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.20410139238827546,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.16953519812626372,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.11814580533417672,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.12009784102854372,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.12116800933946865,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.165801320435078,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.14583697105896393,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.18085335755368348,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.03546603400781508,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.03546603400781508,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.04110946336832907,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.14070530696297567,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.14070530696297567,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.15309881662509778,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.09235976789168278,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.09235976789168278,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.08702839552289889,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.11513412972840596,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.11513412972840596,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.10999715695219893,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.13356598984771573,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.13356598984771573,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.13356598984771573,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.09413694450824112,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.09413694450824112,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.09367001397419648,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.3296672306824591,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.3296672306824591,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.31530305662246755,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.052483931722883306,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.1085895422839394,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.051904628478656754,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
