adjusted_rand_score,silhouette,calinski_harabasz,eigengap,ari_silhouette,ari_calinski,ari_eigengap,no_clusters_2,no_clusters_3,no_clusters_4,no_clusters_5,score_path,parameters
0.6059664369198875,0.282072604932873,0.3305807261032742,0.42847502675292043,0.282072604932873,0.3305807261032742,0.42847502675292043,0.21007908188880423,0.23602233051716093,0.1922934348773138,0.2227814427255681,rusemshift-finetune,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.669976403347099,0.37869436062753675,0.3803267451912536,0.3996454618515603,0.37869436062753675,0.3803267451912536,0.3996454618515603,0.2204532787252205,0.28377749832710025,0.28826827993926857,0.25189522121737906,rusemshift-train,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.7180613161525166,0.40068217118948235,0.45067006480936883,0.37731783039007727,0.40068217118948235,0.45067006480936883,0.37731783039007727,0.23932361802685842,0.36571163363424014,0.2826940210470007,0.23221241976834558,ru-ru,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.7087329374200749,0.3698825811478496,0.4436345231657947,0.4304365813487179,0.3698825811478496,0.4436345231657947,0.4304365813487179,0.3318073000849147,0.2816939118330334,0.2818064377628128,0.2653393167739339,en-en,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.6553928149890669,0.3703933749127164,0.3697471352241508,0.33783735137382176,0.3703933749127164,0.3697471352241508,0.33783735137382176,0.3703933749127164,0.1915046861572188,0.16419187052598752,0.1055933553168456,rusemshift-finetune,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.6450056805181634,0.30746261766828137,0.3205682653462495,0.3055901124644287,0.30746261766828137,0.3205682653462495,0.3055901124644287,0.32172591761018116,0.32934373705873654,0.15791321605447298,0.1250598023929041,rusemshift-train,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.7170257653792498,0.4294464005902879,0.429957813165654,0.31778196669808356,0.4294464005902879,0.429957813165654,0.31778196669808356,0.4294464005902879,0.2725258863834102,0.18907972267798914,0.1296413973546929,ru-ru,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.7676608459176145,0.4955727241438779,0.4955727241438779,0.2761153000314169,0.4955727241438779,0.4955727241438779,0.2761153000314169,0.4955727241438779,0.2770915994469397,0.17257109303313511,0.13037272730327273,en-en,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.7213332461814214,0.3867743041318817,0.4354989979794679,0.467062812353066,0.3867743041318817,0.4354989979794679,0.467062812353066,0.32187352535222924,0.2786012673959744,0.2614813368764105,0.21022507417615677,rusemshift-finetune,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.7720194346393551,0.530974410717281,0.525586534326575,0.42203268918159803,0.530974410717281,0.525586534326575,0.42203268918159803,0.44414986024107783,0.37854961917450214,0.2915861467014523,0.20054855700885388,rusemshift-train,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.7444781808479316,0.49511519218324623,0.4896279304332607,0.40901716141747996,0.49511519218324623,0.4896279304332607,0.40901716141747996,0.415517769284766,0.3299936516848145,0.31813578563060624,0.23795688393012485,ru-ru,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.7407406366010161,0.4454741319826592,0.44731348538526544,0.44172544600217867,0.4454741319826592,0.44731348538526544,0.44172544600217867,0.41698148492383574,0.37878531760712814,0.28556036240970734,0.22172144836736649,en-en,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.6046486932954988,0.2959973193643512,0.31847796082415497,0.38690949752654163,0.2959973193643512,0.31847796082415497,0.38690949752654163,0.1971229202377164,0.27702611474002153,0.21741041489268897,0.18661396295257893,rusemshift-finetune,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
0.7215002319070406,0.37784375612434795,0.42292721442031883,0.44615761217169286,0.37784375612434795,0.42292721442031883,0.44615761217169286,0.34689702456004895,0.34344271282095656,0.2908578899342727,0.2279759498481937,rusemshift-train,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}"
0.6970419257461109,0.4149831347232924,0.4484728673572236,0.36490639950965614,0.4149831347232924,0.4484728673572236,0.36490639950965614,0.2435643059157877,0.3382662212999663,0.2979043755909958,0.2469502799056508,ru-ru,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}"
0.7010713042816237,0.3495602604112604,0.44493267780771034,0.4055533696949598,0.3495602604112604,0.44493267780771034,0.4055533696949598,0.32015925572992016,0.32854107471078486,0.2688840076510507,0.25959836024039645,en-en,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}"
0.5982922823389688,0.2876219685051505,0.30646335417928056,0.3824498497933216,0.2876219685051505,0.30646335417928056,0.3824498497933216,0.15862060177224155,0.27603589280394075,0.2667685335431365,0.22225387523848728,rusemshift-finetune,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}"
